kommun,kommun_normalized,unemployment_2018,unemployment_2022,unemployment_rate_2018,unemployment_rate_2022
Skara,skara,661,495,169.92,176.16
Jönköping,jonkoping,3495,3593,171.91,171.75
Örebro,orebro,5614,5862,167.28,147.47
Eskilstuna,eskilstuna,6120,5947,148.04,141.46
Avesta,avesta,1067,890,148.40,149.83
Borås,boras,3855,3532,170.05,170.71
Varberg,varberg,1401,1071,170.23,179.40
Grästorp,grastorp,112,96,193.10,192.00
Berg,berg,185,140,179.61,164.71
Upplands Väsby,upplands vasby,1480,1805,171.49,158.89
Falkenberg,falkenberg,1389,1235,171.27,155.15
Nora,nora,343,284,157.34,156.04
Fagersta,fagersta,715,634,145.33,152.77
Malung-Sälen,malung-salen,229,175,229.00,168.27
Bräcke,bracke,254,158,169.33,202.56
Bjurholm,bjurholm,86,53,159.26,147.22
Simrishamn,simrishamn,588,432,154.74,172.11
Trosa,trosa,229,228,153.69,155.10
Karlshamn,karlshamn,1390,1193,164.30,160.13
Nyköping,nykoping,2001,2026,153.80,146.60
Ängelholm,angelholm,1148,956,169.82,164.83
Helsingborg,helsingborg,6814,7170,162.01,159.44
Staffanstorp,staffanstorp,523,569,163.95,151.73
Kalmar,kalmar,2369,1995,162.93,162.20
Söderhamn,soderhamn,1204,1115,162.48,150.47
Ale,ale,621,622,187.61,186.79
Bengtsfors,bengtsfors,465,293,136.36,145.77
Torsby,torsby,245,251,199.19,155.90
Tranemo,tranemo,279,190,163.16,165.22
Gagnef,gagnef,136,147,186.30,167.05
Aneby,aneby,168,195,168.00,182.24
Botkyrka,botkyrka,4885,5388,157.02,138.94
Malmö,malmo,22185,20587,152.65,149.94
Gotland,gotland,1457,1201,212.70,191.85
Växjö,vaxjo,3546,3304,146.83,147.43
Tierp,tierp,795,722,140.71,158.33
Falun,falun,1541,1283,167.68,155.52
Klippan,klippan,622,531,173.26,171.84
Borgholm,borgholm,307,187,183.83,214.94
Gislaved,gislaved,932,830,154.82,163.06
Säffle,saffle,708,625,155.95,138.27
Hörby,horby,465,398,164.31,164.46
Robertsfors,robertsfors,153,103,161.05,171.67
Sävsjö,savsjo,435,350,145.00,159.09
Öckerö,ockero,163,160,171.58,158.42
Eda,eda,193,222,187.38,145.10
Överkalix,overkalix,96,71,266.67,202.86
Svalöv,svalov,437,411,174.10,177.92
Bromölla,bromolla,516,496,161.76,150.76
Piteå,pitea,1207,923,193.43,178.53
Arvika,arvika,601,541,197.70,159.59
Karlskoga,karlskoga,992,922,164.78,159.52
Värnamo,varnamo,888,787,165.98,162.60
Landskrona,landskrona,2461,2109,153.14,158.93
Eksjö,eksjo,559,509,137.68,156.62
Vindeln,vindeln,127,100,186.76,169.49
Ljusdal,ljusdal,700,591,174.13,155.94
Orust,orust,262,241,201.54,172.14
Kalix,kalix,390,336,215.47,176.84
Bollebygd,bollebygd,165,148,201.22,155.79
Boxholm,boxholm,139,116,156.18,141.46
Sölvesborg,solvesborg,626,490,170.11,168.97
Habo,habo,175,186,198.86,173.83
Hällefors,hallefors,292,230,149.74,149.35
Nynäshamn,nynashamn,831,925,174.58,160.59
Luleå,lulea,2432,1953,183.82,160.61
Södertälje,sodertalje,5428,5657,145.48,143.29
Essunga,essunga,115,140,176.92,164.71
Krokom,krokom,349,214,178.06,187.72
Strängnäs,strangnas,991,1109,166.84,155.76
Ystad,ystad,823,695,177.37,157.60
Ludvika,ludvika,1048,1022,165.30,147.05
Haparanda,haparanda,427,319,175.00,191.02
Sigtuna,sigtuna,1608,2207,173.84,155.97
Enköping,enkoping,1342,1539,164.86,152.98
Härryda,harryda,619,623,188.15,182.16
Båstad,bastad,361,326,152.97,169.79
Strömsund,stromsund,461,280,147.28,175.00
Osby,osby,492,435,154.23,155.91
Sala,sala,751,734,147.25,148.58
Oxelösund,oxelosund,576,441,141.18,153.13
