kommun,kommun_normalized,population_2018,population_2022
Skövde,skovde,55729,57463
Smedjebacken,smedjebacken,10897,10922
Sollefteå,solleftea,19500,18667
Sollentuna,sollentuna,72528,76237
Solna,solna,80950,85450
Sorsele,sorsele,2522,2436
Sotenäs,sotenas,9030,9160
Staffanstorp,staffanstorp,24724,26778
Stenungsund,stenungsund,26503,27870
Stockholm,stockholm,962154,984748
Storfors,storfors,4055,3882
Storuman,storuman,5912,5747
Strängnäs,strangnas,35761,38526
Strömstad,stromstad,13253,13290
Strömsund,stromsund,11703,11397
Sundbyberg,sundbyberg,50564,54070
Sundsvall,sundsvall,98850,99361
Sunne,sunne,13261,13418
Surahammar,surahammar,10088,10033
Svalöv,svalov,14123,14466
Svedala,svedala,21576,23288
Svenljunga,svenljunga,10683,10816
Säffle,saffle,15643,15242
Säter,sater,11123,11271
Sävsjö,savsjo,11631,11771
Söderhamn,soderhamn,25721,25258
Söderköping,soderkoping,14618,14834
Södertälje,sodertalje,97381,102426
Sölvesborg,solvesborg,17468,17514
Tanum,tanum,12873,13013
Tibro,tibro,11168,11399
Tidaholm,tidaholm,12828,12839
Tierp,tierp,21127,21406
Timrå,timra,18060,17754
Tingsryd,tingsryd,12407,12297
Tjörn,tjorn,15922,16275
Tomelilla,tomelilla,13557,13812
Torsby,torsby,11719,11411
Torsås,torsas,7098,7042
Tranemo,tranemo,11874,11940
Tranås,tranas,18987,18804
Trelleborg,trelleborg,44902,46649
Trollhättan,trollhattan,58728,59274
Trosa,trosa,13309,14760
Tyresö,tyreso,48004,49214
Täby,taby,71397,75137
Töreboda,toreboda,9312,9186
Uddevalla,uddevalla,56259,57282
Ulricehamn,ulricehamn,24445,25108
Umeå,umea,127119,132235
Upplands Väsby,upplands vasby,45543,49262
Upplands-Bro,upplands-bro,28756,31853
Uppsala,uppsala,225164,242140
Uppvidinge,uppvidinge,9581,9418
Vadstena,vadstena,7514,7481
Vaggeryd,vaggeryd,13980,14854
Valdemarsvik,valdemarsvik,7956,7630
Vallentuna,vallentuna,33432,34851
Vansbro,vansbro,6807,6800
Vara,vara,15952,16163
Varberg,varberg,63630,67800
