kommunId;kommun;totalBefolkning;forskningUtbildning;eftergymnasial3Plus;eftergymnasialMindre3;gymnasial3Ar;gymnasialHogst2Ar;grundskola;forgymnasial;kommunNormalized
2082;Säter;5376;0.21;0.14;0.31;0.22;0.09;0.02;0.01;sater
2083;Hedemora;7370;0.16;0.13;0.30;0.25;0.11;0.03;0.02;hedemora
2084;Avesta;10817;0.16;0.13;0.31;0.26;0.09;0.03;0.02;avesta
2085;Ludvika;13146;0.23;0.13;0.28;0.21;0.09;0.03;0.03;ludvika
2101;Ockelbo;2714;0.17;0.12;0.28;0.26;0.11;0.04;0.02;ockelbo
2104;Hofors;4575;0.15;0.11;0.33;0.27;0.10;0.02;0.01;hofors
2121;Ovanåker;5290;0.17;0.12;0.32;0.24;0.10;0.02;0.01;ovanaker
2132;Nordanstig;4434;0.17;0.13;0.31;0.25;0.10;0.02;0.01;nordanstig
2161;Ljusdal;8706;0.17;0.13;0.32;0.26;0.08;0.02;0.01;ljusdal
2180;Gävle;53653;0.28;0.16;0.25;0.18;0.08;0.03;0.02;gavle
2181;Sandviken;19126;0.20;0.13;0.29;0.23;0.08;0.04;0.03;sandviken
2182;Söderhamn;11603;0.17;0.14;0.31;0.25;0.09;0.03;0.02;soderhamn
2183;Bollnäs;12581;0.18;0.14;0.31;0.24;0.08;0.03;0.01;bollnas
2184;Hudiksvall;18150;0.23;0.15;0.30;0.21;0.08;0.02;0.01;hudiksvall
2260;Ånge;4420;0.15;0.12;0.32;0.28;0.10;0.01;0.02;ange
2262;Timrå;8896;0.18;0.16;0.29;0.24;0.09;0.02;0.02;timra
2280;Härnösand;11702;0.24;0.18;0.25;0.19;0.08;0.03;0.02;harnosand
2281;Sundsvall;50377;0.28;0.17;0.25;0.20;0.07;0.02;0.01;sundsvall
2282;Kramfors;8359;0.17;0.13;0.30;0.26;0.09;0.02;0.03;kramfors
2283;Sollefteå;8603;0.17;0.15;0.30;0.24;0.08;0.03;0.03;solleftea
2284;Örnsköldsvik;27161;0.26;0.15;0.30;0.21;0.06;0.02;0.02;ornskoldsvik
2303;Ragunda;2469;0.14;0.12;0.32;0.27;0.09;0.03;0.02;ragunda
2305;Bräcke;2885;0.16;0.12;0.31;0.28;0.09;0.02;0.03;bracke
2309;Krokom;7672;0.29;0.14;0.30;0.19;0.06;0.01;0.01;krokom
2313;Strömsund;5117;0.15;0.12;0.35;0.26;0.08;0.02;0.03;stromsund
2321;Åre;6977;0.28;0.19;0.28;0.15;0.06;0.02;0.02;are
2326;Berg;3283;0.18;0.14;0.31;0.25;0.08;0.02;0.02;berg
2361;Härjedalen;5036;0.18;0.13;0.33;0.24;0.08;0.02;0.03;harjedalen
2380;Östersund;32768;0.32;0.16;0.27;0.16;0.05;0.02;0.02;ostersund
2401;Nordmaling;3281;0.19;0.12;0.30;0.27;0.09;0.02;0.01;nordmaling
2403;Bjurholm;1096;0.16;0.11;0.35;0.25;0.08;0.03;0.02;bjurholm
2404;Vindeln;2517;0.20;0.12;0.32;0.25;0.07;0.02;0.02;vindeln
2409;Robertsfors;3196;0.21;0.12;0.31;0.24;0.08;0.01;0.02;robertsfors
2417;Norsjö;1836;0.16;0.12;0.35;0.26;0.07;0.02;0.03;norsjo
2418;Malå;1365;0.16;0.10;0.33;0.27;0.09;0.02;0.04;mala
2421;Storuman;2653;0.18;0.14;0.32;0.24;0.08;0.02;0.02;storuman
2422;Sorsele;1142;0.17;0.12;0.33;0.25;0.08;0.01;0.04;sorsele
2425;Dorotea;1033;0.15;0.09;0.38;0.26;0.08;0.02;0.03;dorotea
2460;Vännäs;4518;0.26;0.14;0.31;0.19;0.07;0.01;0.02;vannas
2462;Vilhelmina;2955;0.15;0.12;0.38;0.24;0.07;0.02;0.01;vilhelmina
2463;Åsele;1224;0.16;0.13;0.31;0.25;0.08;0.02;0.05;asele
2480;Umeå;69761;0.42;0.16;0.21;0.13;0.04;0.01;0.02;umea
2481;Lycksele;5894;0.21;0.13;0.32;0.23;0.07;0.03;0.02;lycksele
2482;Skellefteå;40446;0.27;0.15;0.28;0.17;0.06;0.01;0.05;skelleftea
2505;Arvidsjaur;2950;0.17;0.11;0.36;0.23;0.07;0.02;0.04;arvidsjaur
2506;Arjeplog;1277;0.17;0.13;0.30;0.27;0.10;0.01;0.02;arjeplog
2510;Jokkmokk;2319;0.19;0.14;0.28;0.26;0.08;0.03;0.03;jokkmokk
2513;Överkalix;1480;0.16;0.10;0.28;0.30;0.09;0.02;0.04;overkalix
2514;Kalix;7401;0.19;0.13;0.30;0.27;0.08;0.02;0.02;kalix
2518;Övertorneå;1748;0.19;0.14;0.30;0.28;0.05;0.01;0.03;overtornea
2521;Pajala;2446;0.15;0.11;0.36;0.26;0.06;0.01;0.03;pajala
2523;Gällivare;8814;0.18;0.11;0.34;0.25;0.07;0.02;0.02;gallivare
2560;Älvsbyn;3797;0.16;0.11;0.34;0.27;0.08;0.02;0.03;alvsbyn
2580;Luleå;41195;0.34;0.17;0.24;0.16;0.06;0.01;0.02;lulea
2581;Piteå;21205;0.24;0.15;0.32;0.21;0.05;0.01;0.01;pitea
2582;Boden;13843;0.25;0.15;0.28;0.20;0.07;0.02;0.02;boden
2583;Haparanda;4083;0.17;0.11;0.34;0.24;0.09;0.02;0.02;haparanda
2584;Kiruna;11974;0.19;0.13;0.32;0.22;0.07;0.02;0.05;kiruna
